id,question_id,content
1,1,"#include <stdio.h>
 #include <iostream>
 #include <vector>
 #include <set>
 #include <algorithm>
 using namespace std;
 /*
  * Similar like ""Two Number"" problem, we can have the simlar solution.
  *
  * Suppose the input array is S[0..n-1], 3SUM can be solved in O(n^2) time on average by 
  * inserting each number S[i] into a hash table, and then for each index i and j, 
  * checking whether the hash table contains the integer - (s[i]+s[j])
  *
  * Alternatively, the algorithm below first sorts the input array and then tests all 
  * possible pairs in a careful order that avoids the need to binary search for the pairs 
  * in the sorted list, achieving worst-case O(n^n)
  *
  * Solution: Quadratic algorithm
  * http://en.wikipedia.org/wiki/3SUM
  *
  */
 vector<vector<int> > threeSum(vector<int> &num) {
  vector< vector<int> > result;
  if(num.size() == 0 || num.size() == 1 || num.size() == 2) return result;
  //sort the array, this is the key
  sort(num.begin(), num.end());
  int n = num.size();
  for (int i=0; i<n-2; i++) {
  //skip the duplication
  if (i > 0 && num[i - 1] == num[i]) continue;
  int a = num[i];
  int low = i + 1;
  int high = n - 1;
  while (low < high) {
  int b = num[low];
  int c = num[high];
  if (a + b + c == 0) {
  //got the soultion
  vector<int> v;
  v.push_back(a);
  v.push_back(b);
  v.push_back(c);
  result.push_back(v);
  // Continue search for all triplet combinations summing to zero.
  //skip the duplication
  while(low < n - 1 && num[low] == num[low + 1]) low++; 
  while(high > 0 && num[high] == num[high - 1]) high--; 
  low++;
  high--;
  } else if (a+b+c > 0) {
  //skip the duplication
  while(high > 0 && num[high] == num[high - 1]) high--;
  high--;
  } else {
  //skip the duplication
  while(low < n - 1 && num[low] == num[low + 1]) low++;
  low++;
  } 
  }
  }
  return result;
 }
 //using combination method could meet <<Time Limit Exceeded>> error
 vector<vector<int> > combination(vector<int> &v, int k);
 bool isSumZero(vector<int>& v);
 int sum(vector<int>& v);
 vector<vector<int> > threeSum2(vector<int> &num) {
  vector< vector<int> > result;
  vector< vector<int> > r = combination(num, 3);
  for (int i = 0; i < r.size(); i++) {
  if (isSumZero(r[i])) {
  result.push_back(r[i]);
  }
  }
  return result;
 }
 bool isSumZero(vector < int>& v) {
  return sum(v) == 0;
 }
 int sum(vector<int>& v) {
  int s = 0;
  for(int i = 0; i < v.size(); i++) {
  s += v[i];
  }
  return s;
 }
 vector<vector<int> > combination(vector<int> &v, int k) {
  vector<vector<int> > result;
  vector<int> d;
  int n = v.size();
  for (int i = 0; i < n; i++) {
  d.push_back( (i < k) ? 1 : 0 );
  }
  //1) from the left, find the [1,0] pattern, change it to [0,1]
  //2) move all of the 1 before the pattern to the most left side
  //3) check all of 1 move to the right
  while(1) {
  vector<int> tmp;
  for(int x = 0; x < n; x++) {
  if (d[x]) tmp.push_back(v[x]);
  }
  sort(tmp.begin(), tmp.end());
  result.push_back(tmp);
  //step 1), find [1,0] pattern
  int i;
  bool found = false;
  int ones = 0;
  for(i = 0; i < n - 1; i++) {
  if (d[i] == 1 && d[i + 1] == 0) {
  d[i] = 0; d[i + 1] = 1;
  found = true;
  //step 2) move all of right 1 to the most left side
  for (int j = 0; j < i; j++) {
  d[j] = ( ones > 0 ) ? 1 : 0;
  ones--;
  }
  break;
  }
  if (d[i] == 1) ones++;
  }
  if (!found) {
  break;
  }
  }
  return result;
 }
 void printMatrix(vector<vector<int> > &matrix)
 {
  for(int i = 0; i < matrix.size(); i++) {
  printf(""{"");
  for(int j = 0; j < matrix[i].size(); j++) {
  printf(""%3d "", matrix[i][j]) ;
  }
  printf(""}\n"");
  }
  cout << endl;
 }
 int main()
 {
  //int a[] = { -1, 0, 1, 2, -1, 1, -4 };
  int a[] = { -1, 1, 1, 1, -1, -1, 0,0,0 };
  vector<int> n(a, a + sizeof(a)/sizeof(int));
  vector< vector<int> > result = threeSum(n);
  printMatrix(result); 
  return 0;
 }"
2,2,"#include <stdio.h>
 #include <stdlib.h>
 #include <iostream>
 #include <vector>
 #include <set>
 #include <algorithm>
 using namespace std;
 #define INT_MAX 2147483647
 //solution: http://en.wikipedia.org/wiki/3SUM
 //the idea as blow:
 // 1) sort the array.
 // 2) take the element one by one, calculate the two numbers in reset array.
 //
 //notes: be careful the duplication number.
 //
 // for example:
 // [-4,-1,-1,1,2] target=1
 // 
 // take -4, can cacluate the ""two number problem"" of the reset array [-1,-1,1,2] while target=5
 // [(-4),-1,-1,1,2] target=5 distance=4
 // ^ ^ 
 // because the -1+2 = 1 which < 5, then move the `low` pointer(skip the duplication)
 // [(-4),-1,-1,1,2] target=5 distance=2
 // ^ ^ 
 // take -1(skip the duplication), can cacluate the ""two number problem"" of the reset array [1,2] while target=2
 // [-4,-1,(-1),1,2] target=2 distance=1
 // ^ ^ 
 int threeSumClosest(vector<int> &num, int target) {
  //sort the array
  sort(num.begin(), num.end());
  int n = num.size();
  int distance = INT_MAX;
  int result;
  for (int i=0; i<n-2; i++) {
  //skip the duplication
  if (i > 0 && num[i - 1] == num[i]) continue;
  int a = num[i];
  int low = i + 1;
  int high = n - 1;
  //convert the 3sum to 2sum problem
  while (low < high) {
  int b = num[low];
  int c = num[high];
  int sum = a + b + c;
  if (sum - target == 0) {
  //got the final soultion
  return target;
  } else {
  //tracking the minmal distance
  if (abs(sum - target) < distance ) {
  distance = abs(sum - target);
  result = sum;
  }
  if (sum - target > 0) {
  //skip the duplication
  while(high > 0 && num[high] == num[high - 1]) high--;
  //move the `high` pointer
  high--;
  } else {
  //skip the duplication
  while(low < n && num[low] == num[low + 1]) low++;
  //move the `low` pointer
  low++;
  }
  }
  }
  }
  return result;
 }
 int main()
 {
  int a[] = { -1, 2, 1, -4 };
  vector<int> n(a, a + sizeof(a)/sizeof(int));
  int target = 1;
  cout << threeSumClosest(n, target) << endl;
  return 0;
 }"
3,3,"#include <iostream>
 #include <vector>
 #include <algorithm>
 using namespace std;
 vector<vector<int> > threeSum(vector<int> num, int target); 
 /*
  * 1) Sort the array,
  * 2) traverse the array, and solve the problem by using ""3Sum"" soultion.
  */
 vector<vector<int> > fourSum(vector<int> &num, int target) {
  vector< vector<int> > result;
  if (num.size() < 4) return result;
  sort( num.begin(), num.end() );
  for(int i = 0; i < num.size() - 3; i++) {
  //skip the duplication
  if (i > 0 && num[i - 1] == num[i]) continue;
  vector<int> n(num.begin()+i+1, num.end());
  vector<vector<int> > ret = threeSum(n, target-num[i]);
  for(int j = 0; j < ret.size(); j++) {
  ret[j].insert(ret[j].begin(), num[i]);
  result.push_back(ret[j]);
  }
  }
  return result; 
 }
 vector<vector<int> > threeSum(vector<int> num, int target) {
  vector< vector<int> > result;
  //sort the array (if the qrray is sorted already, it won't waste any time)
  sort(num.begin(), num.end());
  int n = num.size();
  for (int i = 0; i < n - 2; i++) {
  //skip the duplication
  if (i > 0 && num[i - 1] == num[i]) continue;
  int a = num[i];
  int low = i + 1;
  int high = n - 1;
  while (low < high) {
  int b = num[low];
  int c = num[high];
  if (a + b + c == target) {
  //got the soultion
  vector<int> v;
  v.push_back(a);
  v.push_back(b);
  v.push_back(c);
  result.push_back(v);
  // Continue search for all triplet combinations summing to zero.
  //skip the duplication
  while(low < n && num[low] == num[low + 1]) low++;
  while(high > 0 && num[high] == num[high - 1]) high--;
  low++;
  high--;
  } else if (a + b + c > target) {
  //skip the duplication
  while(high > 0 && num[high] == num[high - 1]) high--;
  high--;
  } else {
  //skip the duplication
  while(low < n && num[low] == num[low + 1]) low++;
  low++;
  }
  }
  }
  return result;
 }
 int printMatrix(vector< vector<int> > &vv)
 {
  for(int i = 0; i < vv.size(); i++) {
  cout << ""["";
  for(int j = 0; j < vv[i].size(); j++) {
  cout << "" "" << vv[i][j];
  }
  cout << ""]"" << endl;;
  }
 }
 int main()
 {
  int a[] = { 1, 0, -1, 0, -2, 2 };
  vector<int> n(a, a+6);
  int t = 0;
  vector< vector<int> > v = fourSum(n, t);
  printMatrix(v);
  n.clear();
  int b[] = { -1, -5, -5, -3, 2, 5, 0, 4 };
  n.insert(n.begin(), b, b+8);
  t = -7;
  v = fourSum(n, t);
  printMatrix(v);
  return 0;
 }"
4,4,"//Bad Performance Solution
 class Solution_Time_Limit_Exceeded {
 public:
  // We can orginze all relevant emails to a chain,
  // then we can use Union Find algorithm
  // Besides, we also need to map the relationship between name and email.
  vector<vector<string>> accountsMerge(vector<vector<string>>& accounts) {
  unordered_map<string, string> emails_chains; // email chains
  unordered_map<string, string> names; // names to email chains' head
  //initialization
  for(int i = 0 ; i<accounts.size();i++) {
  auto& account = accounts[i];
  auto& name = account[0];
  for (int j=1; j<account.size(); j++) {
  auto& email = account[j];
  if ( names.find(email) == names.end() ) {
  emails_chains[email] = email;
  names[email] = name;
  }
  join(emails_chains, account[1], email);
  }
  }
  //reform the emails
  unordered_map<string, set<string>> res;
  for( auto& acc : accounts ) {
  string e = find(emails_chains, acc[1]);
  res[e].insert(acc.begin()+1, acc.end());
  }
  //output the result
  vector<vector<string>> result;
  for (auto pair : res) {
  vector<string> emails(pair.second.begin(), pair.second.end());
  emails.insert(emails.begin(), names[pair.first]);
  result.push_back(emails);
  }
  return result;
  }
  string find(unordered_map<string, string>& emails_chains,
  string email) {
  while( email != emails_chains[email] ){
  email = emails_chains[email];
  }
  return email;
  }
  bool join(unordered_map<string, string>& emails_chains,
  string& email1, string& email2) {
  string e1 = find(emails_chains, email1);
  string e2 = find(emails_chains, email2);
  if ( e1 != e2 ) emails_chains[e1] = email2;
  return e1 == e2;
  }
 };
 //
 // Performance Tunning
 // -----------------
 //
 // The above algorithm need to do string comparison, it causes lots of efforts
 // So, we allocated the ID for each email, and compare the ID would save the time.
 //
 // Furthermore, we can use the Group-Email-ID instead of email ID,
 // this would save more time.
 //
 class Solution {
 public:
  // We can orginze all relevant emails to a chain,
  // then we can use Union Find algorithm
  // Besides, we also need to map the relationship between name and email.
  vector<vector<string>> accountsMerge(vector<vector<string>>& accounts) {
  unordered_map<string, int> emails_id; //using email ID for union find
  unordered_map<int, int> emails_chains; // email chains
  unordered_map<int, string> names; // email id & name
  //initialization & join
  for(int i = 0 ; i<accounts.size();i++) {
  // using the account index as the emails group ID,
  // this could simplify the emails chain.
  emails_chains[i] = i;
  auto& account = accounts[i];
  auto& name = account[0];
  for (int j=1; j<account.size(); j++) {
  auto& email = account[j];
  if ( emails_id.find(email) == emails_id.end() ) {
  emails_id[email] = i;
  names[i] = name;
  }else {
  join( emails_chains, i, emails_id[email] );
  }
  }
  }
  //reform the emails
  unordered_map<int, set<string>> res;
  for(int i=0; i<accounts.size(); i++) {
  int idx = find(emails_chains, i);
  res[idx].insert(accounts[i].begin()+1, accounts[i].end());
  }
  //output the result
  vector<vector<string>> result;
  for (auto pair : res) {
  vector<string> emails( pair.second.begin(), pair.second.end() );
  emails.insert(emails.begin(), names[pair.first]);
  result.push_back(emails);
  }
  return result;
  }
  int find(unordered_map<int, int>& emails_chains, int id) {
  while( id != emails_chains[id] ){
  id = emails_chains[id];
  }
  return id;
  }
  bool join(unordered_map<int, int>& emails_chains, int id1, int id2) {
  int e1 = find(emails_chains, id1);
  int e2 = find(emails_chains, id2);
  if ( e1 != e2 ) emails_chains[e1] = e2;
  return e1 == e2;
  }
 };"
5,5,"#include <string.h>
 #include <iostream>
 #include <string>
 using namespace std;
 const int MAX_CHARS = 26;
 /*Trie Node*/
 class TrieNode {
 public:
  TrieNode():isWord(false) {
  memset(childern, 0, sizeof(childern));
  }
  TrieNode* & operator [] (char idx){
  int i = (idx-'a') % MAX_CHARS;
  return childern[i];
  }
  TrieNode* & operator [] (int idx){
  int i = idx % MAX_CHARS;
  return childern[i];
  }
  bool isWord;
 private:
  TrieNode* childern[MAX_CHARS];
 };
 /*Trie Tree*/
 class TrieTree {
 public:
  TrieTree():root(new TrieNode()){ }
  ~TrieTree() { freeTree(root); }
  void put(string &s) {
  TrieNode* node = root;
  for (int i=0; i<s.size(); i++){
  if ((*node)[s[i]] == NULL){
  (*node)[s[i]] = new TrieNode();
  }
  node = (*node)[s[i]];
  }
  node->isWord = true;
  }
  bool search(string &s){
  return get(s, this->root);
  }
 private:
  bool get(string &s, TrieNode* root, int idx=0){
  TrieNode* node = root;
  for (int i=idx; i<s.size(); i++){
  if (s[i]!='.'){
  node = (*node)[s[i]];
  if (node == NULL) return false;
  }else{
  for (int j=0; j<MAX_CHARS; j++) {
  TrieNode *p = (*node)[j];
  if (p == NULL ) {
  continue;//try next
  }
  // p!=NULL
  if (i<s.size()-1) {
  if (this->get(s, p, i+1)) {
  return true;
  }
  continue; //try next
  }
  // p!=NULL && i == s.size()-1
  if (p->isWord) {
  return true;
  }
  }
  return false;
  }
  }
  return node->isWord; 
  }
 private:
  void freeTree(TrieNode* root){
  for(int i=0; i<MAX_CHARS; i++){
  if ((*root)[i]!=NULL){
  freeTree((*root)[i]);
  }
  }
  delete root;
  }
  TrieNode *root;
 };
 class WordDictionary {
 public:
  // Adds a word into the data structure.
  void addWord(string word) {
  tree.put(word);
  }
  // Returns if the word is in the data structure. A word could
  // contain the dot character '.' to represent any one letter.
  bool search(string word) {
  return tree.search(word);
  }
 private:
  TrieTree tree;
 };
 // Your WordDictionary object will be instantiated and called as such:
 // WordDictionary wordDictionary;
 // wordDictionary.addWord(""word"");
 // wordDictionary.search(""pattern"");
 int main()
 {
  WordDictionary wd;
  wd.addWord(""a"");
  cout << wd.search(""a."") <<endl;;
  cout << wd.search("".a"") << endl;;
  wd.addWord(""bad"");
  cout << wd.search(""bad"") <<endl;;
  cout << wd.search(""b.."") <<endl;;
  return 0;
 }"
6,6,"#include <iostream>
 #include <string>
 using namespace std;
 string addBinary(string a, string b) {
  int alen = a.size();
  int blen = b.size();
  bool carry = false;
  string result;
  while( alen>0 || blen>0) {
  int abit = alen<=0 ? 0 : a[alen-1]-'0';
  int bbit = blen<=0 ? 0 : b[blen-1]-'0';
  int cbit = carry ? 1 : 0;
  result.insert(result.begin(), '0' + ((abit+bbit+cbit) & 1) );
  carry = (abit+bbit+cbit>1);
  alen--; blen--;
  }
  if (carry){
  result.insert(result.begin(), '1');
  }
  return result;
 }
 int main(int argc, char** argv) 
 {
  string a = ""11"";
  string b = ""1"";
  if (argc>2){
  a = argv[1];
  b = argv[2];
  }
  cout << a << ""+"" << b << ""="" << addBinary(a, b) << endl;
 }"
7,7,"class Solution {
  public:
  int addDigits(int num) {
  switch(random()%5+1){
  case 1: return addDigits01(num);
  case 2: return addDigits02(num);
  case 3: return addDigits03(num);
  case 4: return addDigits04(num);
  default: return addDigits05(num);
  }
  }
  //regualr way
  int addDigits01(int num) {
  while(num > 9) {
  int sum;
  for(sum=0; num > 0; sum += num%10 , num/=10);
  num = sum;
  }
  return num;
  }
  //This solution looks is very tricky, but acutally it is easy to understand.
  //it just keep adding the last digital until the num < 10
  int addDigits02(int num) {
  while(num > 9) {
  num = num / 10 + num % 10;
  }
  return num;
  }
  // Let's observe the pattern
  // 1 1
  // 2 2
  // ... ...
  // 8 8 
  // 9 9 
  // 10 1
  // 11 2
  // 12 3 
  // ... ...
  // 17 8
  // 18 9
  // 19 1
  // 20 2
  // ... ...
  // It looks most of number just simply %9 is the answer, 
  // but there are some edge cases.
  // 9%9=0 but we need 9. 
  // 18%9=0 but we need 9
  // so we can find the solution is:
  // 1) num <=9, return num
  // 2) num > 9, reutrn num%9 if num%9>0
  // return 9 if num%9 ==0
  int addDigits03(int num) {
  return num >9 ? ((num %9)==0 ? 9:num%9) : num;
  }
  //But actually, we can use (num-1)%9 + 1 to make all cases right.
  int addDigits04(int num){
  return (num - 1) % 9 + 1;
  }
  //This solution is similar with pervious solution.
  int addDigits05(int num){
  return num - 9 * ((num - 1)/9);
  }
 };"
8,8,"class Solution {
 public:
  bool isAdditiveNumber(string num) {
  int len = num.size();
  for(int i=1; i<len/2+1; i++) {
  string n1 = num.substr(0, i);
  if ( n1.size()>1 && n1[0] == '0') break;
  for(int j=i+1; j<len; j++) {
  string n2 = num.substr(i, j-i);
  if ( n2.size()>1 && n2[0] == '0') break;
  string n3 = num.substr(j);
  if (isAdditiveNumberHelper(n1, n2, n3)) return true;
  }
  }
  return false;
  }
 private:
  bool isAdditiveNumberHelper(string& n1, string& n2, string& n3){
  string add = StringAdd(n1, n2);
  if (add.size() > n3.size()) return false;
  if (add == n3 ) return true;
  //split the n3 to 2 parts, and keep going.
  string cut = n3.substr(0, add.size());
  if (add == cut) {
  string rest = n3.substr(add.size());
  return isAdditiveNumberHelper(n2, add, rest);
  }
  return false;
  }
  string StringAdd(string n1, string n2) {
  if (n1.size() < n2.size()) {
  string tmp = n1;
  n1 = n2;
  n2 = tmp;
  }
  int carry=0;
  string result;
  for (int i=n1.size()-1, j=n2.size()-1; i>=0; i--, j--) {
  int n = n1[i] - '0' + carry;
  if ( j >= 0) {
  n += n2[j] - '0';
  } 
  char ch = n % 10 + '0';
  carry = n/10;
  result = ch + result;
  }
  if (carry>0) result = (char)(carry+'0') + result;
  return result;
  }
 };"
9,9,"class Solution {
 public:
  string addStrings(string num1, string num2) {
  string& longstr = ( num1.size() >= num2.size() ? num1 : num2 );
  string& shortstr = ( num1.size() < num2.size() ? num1 : num2 );
  int longlen = longstr.size();
  int shortlen = shortstr.size();
  char carry = 0;
  int i, j;
  string result;
  for (i = longlen-1, j=shortlen-1; i>=0; i--, j--) {
  int add = 0;
  if (j>=0) {
  add = longstr[i] + shortstr[j] - 2 * '0' + carry;
  }else{
  add = longstr[i] - '0' + carry;
  }
  carry = add/10;
  result = char('0' + add % 10) + result;
  }
  if (carry) {
  result = '1' + result;
  }
  return result;
  }
 };"
10,10,"class Solution {
 public:
  vector<int> addToArrayForm(vector<int>& A, int K) {
  int carry = K;
  for (int i = A.size() - 1; i >= 0 && carry > 0; i--) {
  int a = A[i] + carry;
  A[i] = a % 10 ;
  carry = a / 10;
  }
  while ( carry > 0 ) {
  A.insert(A.begin(), carry%10);
  carry /= 10;
  }
  return A;
  }
 };"
